"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/03/2010","Chevron","Purchase With Pin Chevron/gillon Ccle Elum Wa","5.37","debit","Gas & Fuel","Personal","",""
"8/03/2010","Ballard Mar","Purchase With Pin The Ballard Mar Seattle Wa","12.07","debit","Uncategorized","Personal","",""
"8/03/2010","Desert Sun Tanning","Visa Purchase (Non-pin) Recur Desert Sun Tanni206-546-8267wa","5.48","debit","Personal Care","Personal","",""
"8/03/2010","Quik Mart","Purchase With Pin Astro Quikmart 1warden Wa","61.99","debit","Shopping","Personal","",""
"8/03/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"8/03/2010","Payment Gateway","Electronic Withdrawal Authnet Gateway","53.50","debit","Business Services","CD","",""
"8/03/2010","Bkcd Processing","Electronic Withdrawal Bkcd Processing","29.64","debit","Uncategorized","CD","",""
"8/02/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00seattle Wa","7.70","debit","Coffee Shops","Personal","",""
"8/02/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00ellensburg Wa","10.10","debit","Coffee Shops","Personal","",""
"8/02/2010","Safeway","Purchase With Pin Safeway Store Spokane Wa","9.59","debit","Groceries","Personal","",""
"8/02/2010","Safeway","Purchase With Pin Safeway Store Spokane Wa","17.70","debit","Groceries","Personal","",""
"8/02/2010","West Lake Cntr","Visa Purchase (Non-pin) West Lake Cntr10moses Lake Wa","52.48","debit","Uncategorized","Personal","",""
"8/02/2010","Payless","Purchase With Pin Payless Gas & Mikootenai Id","1.69","debit","Home Improvement","Personal","",""
"8/02/2010","Jack in the Box","Visa Purchase (Non-pin) Jack In The Box Sandpoint Id","20.30","debit","Fast Food","Personal","",""
"8/02/2010","Counter Burg","Visa Purchase (Non-pin) The Counter Burgseattle Wa","23.80","debit","Uncategorized","CD","",""
"8/02/2010","Christian","Visa Purchase (Non-pin) Hovel-christian 760-7981601 Ca","16.98","debit","Home Improvement","CD","",""
"8/02/2010","Check 5077","Check   view-5077","1921.09","debit","Check","CD","",""
"8/02/2010","Wendy's","Visa Purchase (Non-pin) Wendy's #16 Green Acres Wa","12.85","debit","Fast Food","CD","",""
"8/02/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.58","credit","Income","CD","",""
"7/30/2010","Quality Food Cen","Purchase With Pin Quality Food Censeattle Wa","7.50","debit","Food & Dining","Personal","",""
"7/30/2010","Safeway","Purchase With Pin Safeway Store Seattle Wa","33.29","debit","Groceries","Personal","",""
"7/30/2010","Dad Watsns Rest","Visa Purchase (Non-pin) Dad Watsns Rest&seattle Wa","13.55","debit","Uncategorized","CD","",""
"7/30/2010","Check 5075","Check   view-5075","2625.00","debit","Check","CD","",""
"7/30/2010","Bank Of America","Web Authorized Pmt Bank Of America","300.00","debit","Car Payment","Personal","",""
"7/30/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.75","credit","Income","Personal","",""
"7/30/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.58","credit","Income","CD","",""
"7/29/2010","Greenwood Market","Purchase With Pin Greenwood Marke Seattle Wa","23.50","debit","Groceries","Personal","",""
"7/29/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","163.33","debit","Groceries","Personal","",""
"7/29/2010","5 Spot","Visa Purchase (Non-pin) 5 Spot Seattle Wa","20.49","debit","Restaurants","CD","",""
"7/29/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"7/28/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.18","credit","Income","CD","",""
"7/27/2010","Ballard Family Ctr","Visa Purchase (Non-pin) Ballard Family Dseattle Wa","108.00","debit","Dentist","Personal","",""
"7/27/2010","Nw Market","Purchase With Pin 1423 Nw Market Sseattle Wa","53.55","debit","Groceries","Personal","",""
"7/27/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","76.36","credit","Income","CD","",""
"7/27/2010","Deposit View","Deposit   view","1500.00","credit","Income","CD","",""
"7/26/2010","Transfer from CD","Internet Payment Thank You","207.76","credit","Credit Card Payment","CD Credit","",""
"7/26/2010","Transfer from Personal","Internet Payment Thank You","67.58","credit","Credit Card Payment","Personal CC1","",""
"7/26/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Entertainment","Personal CC1","",""
"7/26/2010","Shell","Visa Purchase (Non-pin) Shell Oil 574440redmond Wa","56.16","debit","Gas & Fuel","Personal","",""
"7/26/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","5.43","debit","Entertainment","Personal","",""
"7/26/2010","ATM Withdrawal","Atm Withdrawal Us Bank Westminsseattle Waus1","120.00","debit","Cash & ATM","Personal","",""
"7/26/2010","Transfer from CD","Telephone Transfer 000153559713075","108.00","credit","Transfer","Personal","",""
"7/26/2010","Rogers Marketplace","Purchase With Pin Roger's Market 2mt.lake Terrwa","24.90","debit","Groceries","Personal","",""
"7/26/2010","Kids Club","Purchase With Pin Kids Club Seattle Wa","16.65","debit","Shopping","Personal","",""
"7/26/2010","Teriyaki Time","Visa Purchase (Non-pin) Teriyaki Time Seattle Wa","50.23","debit","Restaurants","CD","",""
"7/26/2010","Fred Meyer","Visa Purchase (Non-pin) Fred-meyer #0608seattle Wa","21.89","debit","Groceries","CD","",""
"7/26/2010","Skype","Visa Purchase (Non-pin) Skype 44870835190","3.00","debit","Utilities","CD","",""
"7/26/2010","Bad Albert's Tap & Grill","Visa Purchase (Non-pin) Bad Alberts Tap Seattle Wa","15.93","debit","Restaurants","CD","",""
"7/26/2010","Transfer to Personal","Assisted Telephone Transfer 000153556271499","108.00","debit","Transfer","CD","",""
"7/26/2010","Uw Recreational","Visa Purchase (Non-pin) Uw Recreational Seattle Wa","6.00","debit","Uncategorized","CD","",""
"7/26/2010","Fred Meyer","Visa Purchase (Non-pin) Fred-meyer #0608seattle Wa","20.54","debit","Groceries","CD","",""
"7/26/2010","QFC","Visa Purchase (Non-pin) Qfc #5807 Seattle Wa","13.39","debit","Groceries","CD","",""
"7/26/2010","ATM Withdrawal","Atm Withdrawal Us Bank Westminsseattle Waus1","60.00","debit","Cash & ATM","CD","",""
"7/26/2010","Transfer to Personal CC1","Internet Banking Payment To Credit Card 1007","67.58","debit","Credit Card Payment","Personal","",""
"7/26/2010","Transfer from CD","Internet Banking Transfer Deposit 000153559713075","200.00","credit","Transfer","Personal","",""
"7/26/2010","Internet Banking Reserve","Internet Banking Payment To Reserve Line 000153556271499","207.04","debit","Uncategorized","CD","",""
"7/26/2010","Transfer to Personal","Internet Banking Transfer Withdrawal 000153556271499","200.00","debit","Transfer","CD","",""
"7/26/2010","Transfer to CD Credit","Internet Banking Payment To Credit Card 5541","207.76","debit","Credit Card Payment","CD","",""
"7/23/2010","Seattle Park","Visa Purchase (Non-pin) Seattle 684-parkseattle Wa","1.50","debit","Uncategorized","Personal","",""
"7/23/2010","Subway","Visa Purchase (Non-pin) Subway 00seattle Wa","11.00","debit","Restaurants","CD","",""
"7/23/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","75.71","credit","Income","CD","",""
"7/22/2010","Seattle Park","Visa Purchase (Non-pin) Seattle 684-parkseattle Wa","1.00","debit","Uncategorized","Personal","",""
"7/22/2010","Seattle Park","Visa Purchase (Non-pin) Seattle 684-parkseattle Wa","3.83","debit","Uncategorized","CD","",""
"7/22/2010","Counter Burg","Visa Purchase (Non-pin) The Counter Burgseattle Wa","15.35","debit","Uncategorized","CD","",""
"7/22/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","76.29","credit","Income","CD","",""
"7/21/2010","Check 5563","Check   view-5563","50.00","debit","Collin","Personal","",""
"7/21/2010","Diamond Parking","Visa Purchase (Non-pin) Diamond Parking Seattle Wa","5.00","debit","Parking","Personal","",""
"7/21/2010","Check 5564","Check   view-5564","250.00","debit","Tithe","Personal","",""
"7/20/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","32.76","debit","Entertainment","Personal","",""
"7/20/2010","Shoeboxed","Visa Purchase (Non-pin) Recur Shoeboxed Inc 704-3404768 Nc","19.95","debit","Web Services","CD","",""
"7/20/2010","Deposit View","Deposit   view","3139.00","credit","Income","CD","",""
"7/20/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.56","credit","Income","CD","",""
"7/19/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Entertainment","Personal CC1","",""
"7/19/2010","Shell","Purchase With Pin Shell Service Stocean Shoreswa","55.67","debit","Gas & Fuel","Personal","",""
"7/19/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00seattle Wa","6.30","debit","Restaurants","Personal","",""
"7/19/2010","iTunes","Visa Purchase (Non-pin) Apl*itunes 866-712-7753ca","8.74","debit","Entertainment","Personal","",""
"7/19/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","39.12","debit","Groceries","Personal","",""
"7/19/2010","Ocean Shores","Purchase With Pin Ocean Shores Ocean Shoreswa","34.91","debit","Uncategorized","Personal","",""
"7/19/2010","Check 5073","Check   view-5073","2625.00","debit","Check","CD","",""
"7/19/2010","Shelter","Visa Purchase (Non-pin) Shelter Seattle Wa","8.85","debit","Uncategorized","CD","",""
"7/19/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","10.35","debit","Restaurants","CD","",""
"7/19/2010","Comcast","Visa Purchase (Non-pin) Comcast Cable Co800-comcast Wa","138.00","debit","Television","CD","",""
"7/19/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","19.56","credit","Income","CD","",""
"7/16/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00seattle Wa","10.34","debit","Coffee Shops","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Woodland Park Zoo","Visa Purchase (Non-pin) Woodland Park Zoseattle Wa","6.57","debit","Entertainment","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Non Pin Return","Visa (Non-pin) Return The Pike Place Mseattle Wa","0.55","credit","Income","Personal","",""
"7/16/2010","Pike Place M","Visa Purchase (Non-pin) The Pike Place M206-7745246 Wa","0.55","debit","Uncategorized","Personal","",""
"7/16/2010","Dropbox Ca","Visa Purchase (Non-pin) Dropbox 888-446-8396ca","9.99","debit","Uncategorized","CD","",""
"7/16/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"7/15/2010","Seattle Gymnasti Wa","Visa Purchase (Non-pin) Seattle Gymnasti206-3627447 Wa","153.00","debit","Uncategorized","Personal","",""
"7/15/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","61.16","debit","Groceries","Personal","",""
"7/15/2010","ATM Withdrawal","Atm Withdrawal Us Bank Westminsseattle Waus1","700.00","debit","Cash & ATM","Personal","",""
"7/15/2010","Netflix","Visa Purchase (Non-pin) Recur Nfi*www.netflix.netflix.com Ca","9.84","debit","Movies & DVDs","Personal","",""
"7/15/2010","Regal","Visa Purchase (Non-pin) Regal Thornton Pseattle Wa","22.00","debit","Business Services","CD","",""
"7/15/2010","Ram Restaurant","Visa Purchase (Non-pin) Ram Restaurant Bseattle Wa","45.48","debit","Restaurants","CD","",""
"7/15/2010","Check 1045","Check   view-1045","60.00","debit","Check","CD","",""
"7/15/2010","Comcast","Visa Purchase (Non-pin) Recur Comcast Cable Co800-comcast Wa","138.00","debit","Television","CD","",""
"7/15/2010","Balance Transfer Interest","BALANCE TRANSFER INTEREST","70.30","debit","Transfer","Chase CARD","",""
"7/15/2010","North Pacific In","Electronic Withdrawal North Pacific In","115.83","debit","Uncategorized","Personal","",""
"7/15/2010","Glaic","Electronic Withdrawal Glaic","18.55","debit","Life Insurance","Personal","",""
"7/15/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.70","credit","Income","Personal","",""
"7/15/2010","AT&T","Web Authorized Pmt At&t","242.73","debit","Home Phone","CD","",""
"7/14/2010","Interest Charge","Interest Charge","33.62","debit","Finance Charge","CD Credit","",""
"7/14/2010","7-Eleven","Purchase With Pin 7-eleven Seattle Wa","30.20","debit","Fast Food","Personal","",""
"7/14/2010","Transfer to Chase CARD","Electronic Withdrawal Chase","184.00","debit","Credit Card Payment","Personal","",""
"7/14/2010","Chevron","Purchase With Pin Chevron/arsh Vahseattle Wa","10.94","debit","Gas & Fuel","Personal","",""
"7/14/2010","Amazon","Visa Purchase (Non-pin) Amazon Mktplace Amzn.com/bilwa","8.66","debit","Shopping","CD","",""
"7/14/2010","Brown Bear Car Wash","Visa Purchase (Non-pin) Brown Bear Car Wseattle Wa","14.22","debit","Service & Parts","CD","",""
"7/13/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"7/13/2010","McDonald's","Visa Purchase (Non-pin) Mcdonald's F1229moses Lake Wa","15.06","debit","Fast Food","Personal","",""
"7/13/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00moses Lake Wa","2.86","debit","Coffee Shops","Personal","",""
"7/13/2010","Crucial Com Lexa","Visa Purchase (Non-pin) Crucial.com-lexa800-336-8915id","110.57","debit","Uncategorized","CD","",""
"7/13/2010","Deposit View","Deposit   view","2734.00","credit","Income","CD","",""
"7/13/2010","Original Pancake House","Visa Purchase (Non-pin) Original Pancakeseattle Wa","36.01","debit","Restaurants","CD","",""
"7/13/2010","Leary Travel","Visa Purchase (Non-pin) The Leary Travelseattle Wa","16.20","debit","Travel","CD","",""
"7/13/2010","Apple","Visa Purchase (Non-pin) Apl*apple Online800-676-2775ca","217.91","debit","Electronics & Software","CD","",""
"7/12/2010","Glaic","Electronic Withdrawal Glaic","12.08","debit","Life Insurance","Personal","",""
"7/12/2010","Loon Lake Cono","Visa Purchase (Non-pin) Loon Lake Cono10loon Lake Wa","53.76","debit","Uncategorized","Personal","",""
"7/12/2010","Wonderlandfamily","Visa Purchase (Non-pin) Wonderlandfamilyspokane Wa","10.00","debit","Uncategorized","Personal","",""
"7/12/2010","City","Web Authorized Pmt City Of Seattle","32.36","debit","Uncategorized","Personal","",""
"7/12/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","16.05","debit","Groceries","Personal","",""
"7/12/2010","Wonderlandfamily","Visa Purchase (Non-pin) Wonderlandfamilyspokane Wa","32.59","debit","Uncategorized","Personal","",""
"7/12/2010","Taco Time","Visa Purchase (Non-pin) Taco Time Spokane Wa","33.81","debit","Restaurants","Personal","",""
"7/12/2010","Chevron","Purchase With Pin Chevron/bernard Ellensburg Wa","3.55","debit","Gas & Fuel","Personal","",""
"7/12/2010","Starbucks","Visa Purchase (Non-pin) Starbucks Usa 00spokane Wa","5.49","debit","Coffee Shops","Personal","",""
"7/12/2010","Ppdacct","Electronic Withdrawal 100712payment 5xxxxxxxxxxxx0632369 Ppdacct 0","422.60","debit","Uncategorized","CD","",""
"7/12/2010","Recur Codero Ks","Visa Purchase (Non-pin) Recur Codero 913-8907700 Ks","129.98","debit","Uncategorized","CD","",""
"7/12/2010","Transfer from Personal","AUTOMATIC PAYMENT - THANK","184.00","credit","Credit Card Payment","Chase CARD","",""
"7/09/2010","Chevron","Visa Purchase (Non-pin) Chevron 00095179ellensburg Wa","44.52","debit","Gas & Fuel","Personal","",""
"7/08/2010","Diamond Parking","Visa Purchase (Non-pin) Diamond Parking Seattle Wa","5.00","debit","Parking","Personal","",""
"7/08/2010","Yokes","Purchase With Pin Yoke's Deer Parkdeer Park Wa","55.32","debit","Groceries","Personal","",""
"7/08/2010","Quality Food Cen","Purchase With Pin Quality Food Cennorth Bend Wa","38.22","debit","Food & Dining","Personal","",""
"7/08/2010","Safeway","Visa Purchase (Non-pin) Safeway Store00seattle Wa","19.57","debit","Groceries","CD","",""
"7/08/2010","Safeway","Visa Purchase (Non-pin) Safeway Store00seattle Wa","13.82","debit","Groceries","CD","",""
"7/08/2010","Roto-Rooter","Visa Purchase (Non-pin) Roto Rooter Svrceverett Wa","378.41","debit","Home Services","CD","",""
"7/08/2010","Ballard Mkt Thri","Visa Purchase (Non-pin) Ballard Mkt Thriseattle Wa","5.46","debit","Uncategorized","CD","",""
"7/07/2010","Transfer from Personal","Internet Payment Thank You","2700.00","credit","Credit Card Payment","CD Credit","",""
"7/07/2010","eFax","Visa Purchase (Non-pin) Recur J2 *efax Plus Se323-817-3205ca","16.95","debit","Printing","CD","",""
"7/07/2010","Pandora Com Ca","Visa Purchase (Non-pin) Pandora.com 510-842-6998ca","36.00","debit","Uncategorized","CD","",""
"7/07/2010","Transfer to CD Credit","Internet Banking Payment To Credit Card 5541","2700.00","debit","Credit Card Payment","Personal","",""
"7/07/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","114.44","credit","Income","CD","",""
"7/06/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"7/06/2010","ATM Withdrawal","Atm Withdrawal Us Bank Ballard Seattle Waus1","200.00","debit","Cash & ATM","Personal","",""
"7/06/2010","Mr Gyros","Visa Purchase (Non-pin) Mr Gyros Seattle Wa","60.10","debit","Restaurants","Personal","",""
"7/06/2010","McDonald's","Visa Purchase (Non-pin) Mcdonald's F459 Seattle Wa","3.30","debit","Fast Food","Personal","",""
"7/06/2010","Pagliacci Pizza","Visa Purchase (Non-pin) Pagliacci Pizza 206-6520877 Wa","21.78","debit","Restaurants","Personal","",""
"7/06/2010","Dunn Lumber","Visa Purchase (Non-pin) Dunn Lumber Gl Seattle Wa","39.59","debit","Home Improvement","CD","",""
"7/06/2010","Safeway","Visa Purchase (Non-pin) Safeway Store00seattle Wa","15.97","debit","Groceries","CD","",""
"7/06/2010","ATM Deposit","Atm Deposit Us Bank Ballard Seattle Waus1","895.00","credit","Income","CD","",""
"7/06/2010","Target","Visa (Non-pin) Return Target 00seattle Wa","43.79","credit","Shopping","CD","",""
"7/06/2010","Amazon","Visa Purchase (Non-pin) Amazon Mktplace Amzn.com/bilwa","22.87","debit","Shopping","CD","",""
"7/06/2010","Target","Visa Purchase (Non-pin) Target 00seattle Wa","43.79","debit","Shopping","CD","",""
"7/06/2010","Fred Meyer","Visa Purchase (Non-pin) Fred-meyer #0608seattle Wa","60.20","debit","Groceries","CD","",""
"7/06/2010","Thai Ku","Visa Purchase (Non-pin) Thaiku Seattle Wa","24.33","debit","Restaurants","CD","",""
"7/06/2010","D Ambrosio Gelat","Visa Purchase (Non-pin) D Ambrosio Gelatseattle Wa","7.70","debit","Uncategorized","CD","",""
"7/06/2010","Ndsite Freshboo","Visa Purchase (Non-pin) 2ndsite Freshboo416-481-6946on","44.88","debit","Uncategorized","CD","",""
"7/06/2010","Amazon","Visa Purchase (Non-pin) Amazon Payments 866-749-7545wa","31.54","debit","Shopping","CD","",""
"7/06/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"7/02/2010","ATM Withdrawal","Atm Withdrawal Us Bank Ballard Seattle Waus1","540.00","debit","Cash & ATM","Personal","",""
"7/02/2010","Desert Sun Tanning","Visa Purchase (Non-pin) Recur Desert Sun Tanni206-546-8267wa","5.48","debit","Personal Care","Personal","",""
"7/02/2010","Media Temple","Visa Purchase (Non-pin) Media Temple 877-578-4000ca","52.00","debit","Business Services","CD","",""
"7/02/2010","Check 1044","Check   view-1044","432.95","debit","Check","CD","",""
"7/02/2010","Bkcd Processing","Electronic Withdrawal Bkcd Processing","17.81","debit","Uncategorized","CD","",""
"7/02/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","38.15","credit","Income","CD","",""
"7/02/2010","Check 5071","Check   view-5071","2625.00","debit","Check","CD","",""
"7/02/2010","Check 5074","Check   view-5074","2300.00","debit","Check","CD","",""
"7/02/2010","Payment Gateway","Electronic Withdrawal Authnet Gateway","53.25","debit","Business Services","CD","",""
"7/01/2010","Ballard Mar","Purchase With Pin The Ballard Mar Seattle Wa","43.03","debit","Uncategorized","Personal","",""
"7/01/2010","Alderwoods","Visa Purchase (Non-pin) Alderwood 07lynwood Wa","7.75","debit","Mortgage & Rent","Personal","",""
"7/01/2010","Greenlake","Visa Purchase (Non-pin) Greenlake Boat Rseattle Wa","6.18","debit","Gas & Fuel","Personal","",""
"7/01/2010","Fred Meyer","Visa Purchase (Non-pin) Fred-meyer #0608seattle Wa","38.23","debit","Groceries","CD","",""
"7/01/2010","Salmon Bay Cafe","Visa Purchase (Non-pin) Salmon Bay Cafe Seattle Wa","38.84","debit","Restaurants","CD","",""
"7/01/2010","Bank Of America","Web Authorized Pmt Bank Of America","300.00","debit","Car Payment","Personal","",""
"6/30/2010","Counter Burg","Visa Purchase (Non-pin) The Counter Burgseattle Wa","46.16","debit","Uncategorized","Personal","",""
"6/30/2010","Check 1637","Check   view-1637","750.00","debit","Check","Personal","",""
"6/30/2010","Wire Transfer Fee","Wire Transfer Fee","15.00","debit","Transfer","Personal","",""
"6/30/2010","Wire Transfer Deposit","Wire Transfer Deposit Wt0f Internal Us Bank 100630049384 Old Re","2808.16","credit","Transfer","Personal","",""
"6/30/2010","Pine River","Visa Purchase (Non-pin) Pine River Advenvail Co","66.25","debit","Clothing","CD","",""
"6/30/2010","Check 1043","Check   view-1043","1250.00","debit","Check","CD","",""
"6/30/2010","Ballard Mkt Thri","Visa Purchase (Non-pin) Ballard Mkt Thriseattle Wa","8.45","debit","Uncategorized","CD","",""
"6/30/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","2029.75","credit","Income","Personal","",""
"6/30/2010","Electronic Deposit Mars","Electronic Deposit Mars Hill Fellow","184.69","credit","Income","Personal","",""
"6/29/2010","Nw Market","Purchase With Pin 1423 Nw Market Sseattle Wa","52.51","debit","Groceries","Personal","",""
"6/29/2010","Molly Moon Ice","Visa Purchase (Non-pin) Molly Moon Ice Cseattle Wa","9.35","debit","Uncategorized","Personal","",""
"6/29/2010","Electronic Deposit Bkcd","Electronic Deposit Bkcd Processing","76.30","credit","Income","CD","",""
"6/28/2010","Amazon Video","Amazon Video On Demand 866-216-1072 Wa","4.37","debit","Movies & DVDs","Personal CC1","",""
"6/28/2010","Pagliacci Pizza","Visa Purchase (Non-pin) Pagliacci Pizza 206-6520877 Wa","21.78","debit","Restaurants","Personal","",""
"6/28/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","21.52","debit","Groceries","Personal","",""
"6/28/2010","Ballard Mar","Purchase With Pin The Ballard Mar Seattle Wa","22.69","debit","Uncategorized","Personal","",""
"6/28/2010","Einsteins Bagels","Visa Purchase (Non-pin) Einsteins Bagelsdenver Co","12.75","debit","Fast Food","Personal","",""
"6/28/2010","Fred Meyer","Purchase With Pin Fred Meyer Fred Seattle Wa","147.99","debit","Groceries","Personal","",""
"6/28/2010","Seattle Park","Visa Purchase (Non-pin) Seattle 684-parkseattle Wa","0.75","debit","Uncategorized","Personal","",""
"6/28/2010","Union 76","Visa Purchase (Non-pin) Union 76 10seattle Wa","54.77","debit","Gas & Fuel","Personal","",""
"6/28/2010","Deposit View","Deposit   view","673.00","credit","Income","CD","",""
